iter	MultiClass
0	1.00337034
1	0.9222108226
2	0.8498200239
3	0.7870262807
4	0.730403219
5	0.6796702898
6	0.6337260253
7	0.592155649
8	0.5539156753
9	0.5192497475
10	0.4871489828
11	0.4574032177
12	0.4304735207
13	0.4050372313
14	0.3818048535
15	0.3599324266
16	0.3396251916
17	0.32071249
18	0.3029249181
19	0.2864786784
20	0.2709254426
21	0.2563407745
22	0.2427863832
23	0.2300578997
24	0.2181232369
25	0.2068087299
26	0.1962244481
27	0.1862322074
28	0.1768396045
29	0.1679265526
30	0.1595551654
31	0.1517112918
32	0.1442794621
33	0.1372114238
34	0.1305511259
35	0.1242761989
36	0.1183477194
37	0.1127074104
38	0.1073775701
39	0.1023311152
40	0.09754847545
41	0.0930560001
42	0.08942300577
43	0.08531545623
44	0.08142755885
45	0.07831206795
46	0.07479616637
47	0.07143933003
48	0.06879191082
49	0.06575700157
50	0.06335802009
51	0.06105735957
52	0.05837882078
53	0.05629140313
54	0.05432244818
55	0.052435438
56	0.05020141811
57	0.04806891762
58	0.04644116626
59	0.04448990105
60	0.04299940048
61	0.04158937003
62	0.03986665681
63	0.03870905013
64	0.03749392013
65	0.03631104683
66	0.03484486558
67	0.03344620066
68	0.03243059304
69	0.03146454126
70	0.03023207924
71	0.02936277289
72	0.02837875258
73	0.02730945277
74	0.02627650021
75	0.02529448824
76	0.02459622935
77	0.02368898227
78	0.0231342938
79	0.0222405216
80	0.02143817081
81	0.02067198985
82	0.01994107911
83	0.01924582567
84	0.01857778712
85	0.01794782696
86	0.01725728493
87	0.01666896076
88	0.01612636981
89	0.01552534636
90	0.01500821475
91	0.01444302534
92	0.01396609587
93	0.01342591481
94	0.01307025244
95	0.01264456446
96	0.01217987475
97	0.01173801279
98	0.01128043642
99	0.0108760313
